TA:tas:Near-Surface Air Temperature:air_temperature:K:Anemom Temp [K]
TAMAX:tasmax:Daily Maximum Near-Surface Air Temperature:air_temperature:K:Max Anemom Temp [K]
TAMIN:tasmin:Daily Minimum Near-Surface Air Temperature:air_temperature:K:Min Anemom Temp [K]
QA:huss:Near-Surface Specific Humidity:huss:specific_humidity:1:Anemom Spec Humidity [kg/kg]
RT:pr:Precipitation:precipitation_flux:kg m-2 s-1:Total Precipitation [mm/day]
RC:prc:Convective Precipitation:convective_precipitation_flux:kg m-2 s-1:Convective Precip [mm/day]
W10MX:sfcWindmax:Maximum 10-metre Wind Speed:wind_speed:m s-1:Max 10m Wind Speed [m/s]
UA            Anemom Zonal Winds [m/s]
VA            Anemom Merid Winds [m/s]
DRAG          Surface Drag Stress [si]
TG            Ground Temperature [K]
TF            Foliage Temp [K]
SMU           Top Layer Soil Moist [mm]
SMR           Root Lay Soil Moist [mm]
ET            Evapotranspiration [mm/day]
RNFS          Surface Runoff [mm/day]
SNOW          Snow Depth [mm H2O]
SH            Sensible Heat [W/m2]
LWN           Net Longwave [W/m2]
SWN           Net Solar Absorbed [W/m2]
LWD           Downward Longwave [W/m2]
SWI           Solar Incident [W/m2]
PSRF          Surface Pressure [hPa]
ZPBL          PBL Height [m]
TGMAX         Max Ground Temp [K]
TGMIN         Min Ground Temp [K]
PSMIN         Min Surface Pressure [hPa]
RHA           Relative Humidity [fraction]
MSEA          Moist Static Energy [m2/s2]
